fishid,waterbody,reading,reader,rep,light_type,id,agecap,radcap,rad1,rad2,rad3,rad4,rad5,rad6,rad7,rad8,rad9,rad10,rad11,rad12,rad13,rad14,rad15,rad16,rad17,rad18
T052413WAL001,T05,CJF_1,CJF,1,H,HST052413WAL001,3,0.881357723172934,0.5343768635351047,0.7291731356124833,0.8667957067557321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL002,T05,CJF_1,CJF,1,H,HST052413WAL002,14,1.7313221558688872,0.48703888736980755,0.6418902795713974,0.7493722129432454,0.8369059225632995,0.9571308716475115,1.1080461797560879,1.2498210761720143,1.334752621992251,1.3661099411632125,1.4314267433049548,1.5075513575058404,1.5728681596475818,1.6274428265167533,1.7065030845907563,NA,NA,NA,NA
T052413WAL003,T05,CJF_1,CJF,1,H,HST052413WAL003,5,0.9940210081252188,0.4243169491992298,0.5980734301651414,0.7161988752405171,0.8696403264913447,0.9825349799539977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL004,T05,CJF_1,CJF,1,H,HST052413WAL004,7,1.3432549209425115,0.5366281956690361,0.7445110591666687,0.8965566371959864,1.0392890411860212,1.175701305770183,1.256359802420792,1.3308651947350552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL005,T05,CJF_1,CJF,1,H,HST052413WAL005,8,1.246299671968258,0.42865974762170755,0.6515138833989564,0.8187564289528074,0.9236883566457209,1.0019309938331926,1.0945166592592084,1.1727592964466793,1.2281346434292113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL006,T05,CJF_1,CJF,1,H,HST052413WAL006,3,0.9046177398203594,0.5504808328481852,0.7425467451483345,0.8913904706961373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL007,T05,CJF_1,CJF,1,H,HST052413WAL007,3,0.951862344016212,0.49622624358394724,0.8173228674377013,0.9369825730110641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL008,T05,CJF_1,CJF,1,H,HST052413WAL008,7,1.0326934202301172,0.40258850372402866,0.5674838704456552,0.6583210666862802,0.7667841330475239,0.860875718748519,0.9405958237892665,1.0106660157499774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL009,T05,CJF_1,CJF,1,H,HST052413WAL009,4,0.9147352709331149,0.5544723940509774,0.6993752919170455,0.8166026298308974,0.905187922527298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL010,T05,CJF_1,CJF,1,H,HST052413WAL010,7,1.1994821623430534,0.5742555393018002,0.7512109955963031,0.8687361244427878,0.9353710276078456,1.0286652825761282,1.1340480217975024,1.1873667254039522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL011,T05,CJF_1,CJF,1,H,HST052413WAL011,7,1.121298198613855,0.4016886685347738,0.5924645269330915,0.7086794078785128,0.7952072149014757,0.8750616071312811,0.9606694141434119,1.0840177098874069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL012,T05,CJF_1,CJF,1,H,HST052413WAL012,11,1.5518523937423083,0.4784726179769071,0.6923849295749361,0.8911940536900063,1.0001052803631272,1.1034942267583636,1.1927062595114437,1.2757101472977723,1.346297745150595,1.4078418153082326,1.4677737469361996,1.5349885825507004,NA,NA,NA,NA,NA,NA,NA
T052413WAL013,T05,CJF_1,CJF,1,H,HST052413WAL013,6,1.2839820653899998,0.6221741849218335,0.787621591919634,0.9395355477830976,1.0762562828125184,1.1934975997518047,1.2717618280338552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL014,T05,CJF_1,CJF,1,H,HST052413WAL014,1,0.8062464715937855,0.789431457630551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL015,T05,CJF_1,CJF,1,H,HST052413WAL015,7,0.9900572757730219,0.39504774482518923,0.5484951686515246,0.6477715353739725,0.741486167321456,0.8380189046244338,0.9345144039593992,0.9872764083855395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL016,T05,CJF_1,CJF,1,H,HST052413WAL016,18,1.6036576309117432,0.37944658672343773,0.5156391919564599,0.6129901585553096,0.6713760515132777,0.7433812049945484,0.7861316944934793,0.8701102705824479,0.9634289513098288,1.0684741846314874,1.1404793381127578,1.2124844915940276,1.2825969371462738,1.3447682459622907,1.4090791327207528,1.4480442063616354,1.5044139563838688,1.5590144334837874,1.5862529545303918
T052413WAL017,T05,CJF_1,CJF,1,H,HST052413WAL017,7,1.1129268953073812,0.44759314554712964,0.5888172438762932,0.7261586891631938,0.8389921214680005,0.9468917603139962,1.0199707062079841,1.0964872120919433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL018,T05,CJF_1,CJF,1,H,HST052413WAL018,7,1.209082813717111,0.4830513428710079,0.6862192379804152,0.7994388378518513,0.9225829946626208,1.0000970924493375,1.088448297418262,1.1846136913818615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL019,T05,CJF_1,CJF,1,H,HST052413WAL019,3,0.9594783754430943,0.5498420413928392,0.7901081094395968,0.9318997135261176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL020,T05,CJF_1,CJF,1,H,HST052413WAL020,7,1.183260202573163,0.3910875907219278,0.5961494997336101,0.7265044498095288,0.8307016427166001,0.93775199566947,1.0115003210919102,1.1713682456333072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL021,T05,CJF_1,CJF,1,H,HST052413WAL021,4,0.9958407157535812,0.4624505604933942,0.6926303123844222,0.8712071455084969,0.9788443838657785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL022,T05,CJF_1,CJF,1,H,HST052413WAL022,6,0.9524999918163511,0.42988613998229075,0.5813721519129944,0.6817480720329434,0.7769031499512177,0.8690477592380417,0.9474011863042313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL023,T05,CJF_1,CJF,1,H,HST052413WAL023,10,1.6253872022060247,0.7223425245107588,0.8759444296343357,0.9811428991747836,1.0902533746212344,1.2106741778640566,1.294569459882306,1.3820929545254665,1.45816422473171,1.5456877193748704,1.619448245026747,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL024,T05,CJF_1,CJF,1,H,HST052413WAL024,8,1.3552823617026322,0.4453352670467192,0.6667028124005744,0.8383097423551293,0.9743221695868819,1.0974236199156229,1.1755164606679116,1.2497539893077052,1.3411162490261377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL025,T05,CJF_1,CJF,1,H,HST052413WAL025,6,0.9591850546706744,0.42673513304476474,0.6069104627247166,0.692139093708782,0.7905988150249201,0.8855455137208055,0.9502879871077923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL026,T05,CJF_1,CJF,1,H,HST052413WAL026,5,1.1833248511265724,0.48874580712003013,0.7099281991906373,0.9123580476138005,1.0493207719841742,1.170934341170453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL027,T05,CJF_1,CJF,1,H,HST052413WAL027,8,1.2738099998927617,0.5226640691909025,0.6974360110175628,0.8108345969953807,0.9148521239870929,1.0052274682050362,1.082819441059991,1.1646725377026053,1.2644289409066563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL028,T05,CJF_1,CJF,1,H,HST052413WAL028,5,0.9441286547499971,0.39809403171363184,0.5530952613880652,0.7225542507021672,0.8361992646385572,0.9367315334620281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL029,T05,CJF_1,CJF,1,H,HST052413WAL029,3,0.8322627669709141,0.4806259562083492,0.6717497554280004,0.8229730048521803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL030,T05,CJF_1,CJF,1,H,HST052413WAL030,4,1.053742059856799,0.6389574424662612,0.8109353311163519,0.9317985581046527,1.0487582929267696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL031,T05,CJF_1,CJF,1,H,HST052413WAL031,8,1.340613677921519,0.5402804417269665,0.7660941370586732,0.9022023056314361,1.0103285590231892,1.0989816100867413,1.181026651963628,1.2604693397107762,1.327748484779985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL032,T05,CJF_1,CJF,1,H,HST052413WAL032,3,0.8857826968347944,0.528481153483368,0.7181969679216188,0.8723530239918774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL033,T05,CJF_1,CJF,1,H,HST052413WAL033,8,1.246797855850068,0.5042504847417552,0.6651529918068138,0.8228951646912961,0.9374272585431652,1.0178578200857857,1.113717596712923,1.1787603271508444,1.2406427234081887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL034,T05,CJF_1,CJF,1,H,HST052413WAL034,6,1.0780753309193694,0.4734954804021376,0.6262263581185848,0.7571252936941448,0.8689932482240263,0.9690083374846973,1.0594152189527613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL035,T05,CJF_1,CJF,1,H,HST052413WAL035,3,0.99168740744984,0.6314140201167374,0.8213626703134763,0.9727190495916122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL036,T05,CJF_1,CJF,1,H,HST052413WAL036,5,0.9942524672420957,0.38335733639063735,0.6042451461738094,0.7520325681971206,0.8847288630868109,0.984788768412456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL037,T05,CJF_1,CJF,1,H,HST052413WAL037,11,1.4869165278910332,0.5203585487916164,0.7513110107887494,0.9024912849486466,0.9682307994023321,1.0918570814664685,1.181210338965409,1.2492172821666845,1.3217035803475847,1.3644239602006911,1.4335368665179835,1.4779300666740052,NA,NA,NA,NA,NA,NA,NA
T052413WAL038,T05,CJF_1,CJF,1,H,HST052413WAL038,4,0.9497958932698845,0.45227179416876045,0.6324931040537574,0.802922879700817,0.9400043590319465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL039,T05,CJF_1,CJF,1,H,HST052413WAL039,7,1.2183478713820461,0.49263677999180344,0.6640275070170971,0.7984130434436691,0.9147973188473622,1.022890271764437,1.1226919021948958,1.2006523709502215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL040,T05,CJF_1,CJF,1,H,HST052413WAL040,6,1.2775558140312842,0.527263873595283,0.7005931990899399,0.8727198195233277,1.0254539921171668,1.139388352345989,1.2642216415558554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL041,T05,CJF_1,CJF,1,H,HST052413WAL041,8,1.301875586220817,0.5006328783442959,0.7088041798025281,0.836093910839905,0.9571329216019033,1.0505159325735152,1.1467409588135284,1.2274336326548612,1.3018755862208164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL042,T05,CJF_1,CJF,1,H,HST052413WAL042,3,0.8377388624069398,0.48902057252206027,0.6789194279077848,0.8252655711118673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL043,T05,CJF_1,CJF,1,H,HST052413WAL043,4,1.1584763988837756,0.6851269949675773,0.8720074751122391,1.0353063956919897,1.1370203146758486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL044,T05,CJF_1,CJF,1,H,HST052413WAL044,5,1.1394806930836108,0.5095270273119589,0.7195697800081166,0.8846298832692203,1.0255799144385374,1.1301902451533536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL045,T05,CJF_1,CJF,1,H,HST052413WAL045,3,0.9169993930542508,0.5542120655095452,0.7669476525579131,0.9017267747181539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL046,T05,CJF_1,CJF,1,H,HST052413WAL046,7,1.241995504189959,0.5012621002974832,0.6692864017228576,0.8188092007839536,0.9369506030737713,1.039653103669095,1.136230402924851,1.2232422051345357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL047,T05,CJF_1,CJF,1,H,HST052413WAL047,8,1.197995761911803,0.4462801225444748,0.5975435533636333,0.7287561307717707,0.829558662659266,0.9133382622961059,1.019713788630436,1.1038569701653427,1.1913320217707672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL048,T05,CJF_1,CJF,1,H,HST052413WAL048,9,1.290298723237373,0.6378234525345537,0.7467944493334879,0.8411136279641572,0.9503011600769564,1.0424034873613786,1.0836832707883997,1.1515910194741776,1.2001967119853334,1.2658876093248645,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL049,T05,CJF_1,CJF,1,H,HST052413WAL049,12,1.4348294914496404,0.46736034421483974,0.6174514775209504,0.7599656140423832,0.8811471747664723,0.9576802453379611,1.0294331482381558,1.0955923929115852,1.190076286165815,1.2542521922813303,1.317436429117891,1.3634833338271817,1.427659239942698,NA,NA,NA,NA,NA,NA
T052413WAL050,T05,CJF_1,CJF,1,H,HST052413WAL050,10,1.5145428773252152,0.6090339591619128,0.8191600119783977,0.9121407982811353,1.0283523742324425,1.140771560225538,1.230417197233207,1.3191099344422847,1.3921566619192165,1.4609345495386412,1.498401208457622,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL051,T05,CJF_1,CJF,1,H,HST052413WAL051,9,1.431736991750147,0.48955012572613776,0.713906846681526,0.8601157770053542,0.9985576548325787,1.1078531997281413,1.18399956902736,1.271756744932692,1.3282866222964342,1.420126185144034,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL052,T05,CJF_1,CJF,1,H,HST052413WAL052,4,1.0991952480228042,0.6442802011912874,0.8318078102457681,0.949730826709307,1.08650751877581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL053,T05,CJF_1,CJF,1,H,HST052413WAL053,7,1.4835791027459866,0.7548892892927458,0.9651979061906989,1.0876894460956759,1.2039061339140071,1.305001151372216,1.3961338569539934,1.4714012297736816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL054,T05,CJF_1,CJF,1,H,HST052413WAL054,4,0.8095161806656997,0.5108176968906553,0.5108176968906553,0.7792134359348981,0.7792134359348981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL055,T05,CJF_1,CJF,1,H,HST052413WAL055,6,1.1030798410852152,0.4790723991629902,0.604510195109572,0.7546064557499166,0.8854828213638213,0.9943275565222208,1.0920178005597603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL056,T05,CJF_1,CJF,1,H,HST052413WAL056,5,0.9591704928988272,0.3481978078219067,0.5477818625656661,0.742266681508203,0.8474051867500508,0.9591704928988269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T052413WAL057,T05,CJF_1,CJF,1,H,HST052413WAL057,4,1.099875600082745,0.5329533079381403,0.7886942012325735,0.9614299969077141,1.0824092955390419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T053013WAL001,T05,CJF_1,CJF,1,H,HST053013WAL001,0,0.5543060303409456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
